"Symbol","Name","EntrezGene.ID","Ensembl.Gene.ID","MGI.ID","Gene.group.name"
"EPHX1","epoxide hydrolase 1",2052,"ENSG00000143819","MGI:95405",""
"EPHX2","epoxide hydrolase 2",2053,"ENSG00000120915","MGI:99500","Abhydrolase domain containing|HAD Asp-based non-protein phosphatases"
"EPHX3","epoxide hydrolase 3",79852,"ENSG00000105131","MGI:1919182","Abhydrolase domain containing"
"EPHX4","epoxide hydrolase 4",253152,"ENSG00000172031","MGI:2686228","Abhydrolase domain containing"
"EPM2A","EPM2A glucan phosphatase, laforin",7957,"ENSG00000112425","MGI:1341085","Atypical dual specificity phosphatases"
"EPM2AIP1","EPM2A interacting protein 1",9852,"ENSG00000178567","MGI:1925031",""
"EPN1","epsin 1",29924,"ENSG00000063245","MGI:1333763",""
"EPN2","epsin 2",22905,"ENSG00000072134","MGI:1333766",""
"EPN2-AS1","EPN2 antisense RNA 1",100874018,"ENSG00000235397","","Antisense RNAs"
"EPN2-IT1","EPN2 intronic transcript 1",100874309,"","","Intronic transcripts"
"EPN3","epsin 3",55040,"ENSG00000049283","MGI:1919139",""
"EPO","erythropoietin",2056,"ENSG00000130427","MGI:95407","Receptor ligands"
"EPOP","elongin BC and polycomb repressive complex 2 associated protein",100170841,"ENSG00000273604","MGI:2143991",""
"EPOR","erythropoietin receptor",2057,"ENSG00000187266","MGI:95408","Fibronectin type III domain containing"
"EPPIN","epididymal peptidase inhibitor",57119,"ENSG00000101448","MGI:1922776","WAP four-disulfide core domain containing"
"EPPIN-WFDC6","EPPIN-WFDC6 readthrough",100526773,"ENSG00000249139","",""
"EPPK1","epiplakin 1",83481,"ENSG00000261150","MGI:2386306","Plakins"
"EPRS1","glutamyl-prolyl-tRNA synthetase 1",2058,"ENSG00000136628","MGI:97838","Aminoacyl tRNA synthetases, Class II|Aminoacyl tRNA synthetases, Class I"
"EPS8","epidermal growth factor receptor pathway substrate 8",2059,"ENSG00000151491","MGI:104684",""
"EPS8L1","EPS8 like 1",54869,"ENSG00000131037","MGI:1914675",""
"EPS8L2","EPS8 like 2",64787,"ENSG00000177106","MGI:2138828",""
"EPS8L3","EPS8 like 3",79574,"ENSG00000198758","MGI:2139743",""
"EPS15","epidermal growth factor receptor pathway substrate 15",2060,"ENSG00000085832","MGI:104583","EF-hand domain containing"
"EPS15-AS1","EPS15 antisense RNA 1",105378720,"ENSG00000227070","","Antisense RNAs"
"EPS15L1","epidermal growth factor receptor pathway substrate 15 like 1",58513,"ENSG00000127527","MGI:104582","EF-hand domain containing"
"EPS15P1","epidermal growth factor receptor pathway substrate 15 pseudogene 1",55380,"ENSG00000242948","",""
"EPSTI1","epithelial stromal interaction 1",94240,"ENSG00000133106","MGI:1915168",""
"EPX","eosinophil peroxidase",8288,"ENSG00000121053","MGI:107569",""
"EPYC","epiphycan",1833,"ENSG00000083782","MGI:107942","Small leucine rich repeat proteoglycans"
"EQTN","equatorin",54586,"ENSG00000120160","MGI:1915003",""
"ERAL1","Era like 12S mitochondrial rRNA chaperone 1",26284,"ENSG00000132591","MGI:1889295",""
"ERAP1","endoplasmic reticulum aminopeptidase 1",51752,"ENSG00000164307","MGI:1933403","Aminopeptidases|Minor histocompatibility antigens|M1 metallopeptidases"
"ERAP2","endoplasmic reticulum aminopeptidase 2",64167,"ENSG00000164308","","M1 metallopeptidases|Aminopeptidases"
"ERAS","ES cell expressed Ras",3266,"ENSG00000187682","MGI:2665023","RAS type GTPase family"
"ERBB2","erb-b2 receptor tyrosine kinase 2",2064,"ENSG00000141736","MGI:95410","Minor histocompatibility antigens|Erb-b2 receptor tyrosine kinases|MicroRNA protein coding host genes|CD molecules"
"ERBB3","erb-b2 receptor tyrosine kinase 3",2065,"ENSG00000065361","MGI:95411","Erb-b2 receptor tyrosine kinases"
"ERBB4","erb-b2 receptor tyrosine kinase 4",2066,"ENSG00000178568","MGI:104771","Erb-b2 receptor tyrosine kinases|MicroRNA protein coding host genes"
"ERBIN","erbb2 interacting protein",55914,"ENSG00000112851","MGI:1890169","PDZ domain containing"
"ERC1","ELKS/RAB6-interacting/CAST family member 1",23085,"ENSG00000082805","MGI:2151013",""
"ERC2","ELKS/RAB6-interacting/CAST family member 2",26059,"ENSG00000187672","MGI:1098749","MicroRNA protein coding host genes"
"ERC2-IT1","ERC2 intronic transcript 1",711,"ENSG00000281708","","Intronic transcripts"
"ERCC1","ERCC excision repair 1, endonuclease non-catalytic subunit",2067,"ENSG00000012061","MGI:95412","ERCC excision repair associated"
"ERCC2","ERCC excision repair 2, TFIIH core complex helicase subunit",2068,"ENSG00000104884","MGI:95413","ERCC excision repair associated|General transcription factor IIH complex subunits|Xeroderma pigmentosum complementation groups|DNA helicases"
"ERCC3","ERCC excision repair 3, TFIIH core complex helicase subunit",2071,"ENSG00000163161","MGI:95414","DNA helicases|General transcription factor IIH complex subunits|ERCC excision repair associated|Xeroderma pigmentosum complementation groups"
"ERCC4","ERCC excision repair 4, endonuclease catalytic subunit",2072,"ENSG00000175595","MGI:1354163","Xeroderma pigmentosum complementation groups|FA complementation groups|ERCC excision repair associated"
"ERCC5","ERCC excision repair 5, endonuclease",2073,"ENSG00000134899","MGI:103582","ERCC excision repair associated|Xeroderma pigmentosum complementation groups"
"ERCC6","ERCC excision repair 6, chromatin remodeling factor",2074,"ENSG00000225830","MGI:1100494","ERCC excision repair associated|B-WICH chromatin-remodelling complex subunits"
"ERCC6L","ERCC excision repair 6 like, spindle assembly checkpoint helicase",54821,"ENSG00000186871","MGI:2654144",""
"ERCC6L2","ERCC excision repair 6 like 2",375748,"ENSG00000182150","MGI:1923501",""
"ERCC8","ERCC excision repair 8, CSA ubiquitin ligase complex subunit",1161,"ENSG00000049167","MGI:1919241","ERCC excision repair associated|WD repeat domain containing"
"ERCC8-AS1","ERCC8 antisense RNA 1",105378991,"ENSG00000233847","","Antisense RNAs"
"ERDA1","expanded repeat domain, CAG/CTG 1",9030,"","",""
"EREG","epiregulin",2069,"ENSG00000124882","MGI:107508",""
"ERF","ETS2 repressor factor",2077,"ENSG00000105722","MGI:109637","ETS transcription factor family"
"ERFE","erythroferrone",151176,"ENSG00000178752","MGI:3606476","C1q and TNF related "
"ERFL","ETS repressor factor like",390937,"ENSG00000268041","MGI:3642958",""
"ERG","ETS transcription factor ERG",2078,"ENSG00000157554","MGI:95415","ETS transcription factor family"
"ERG28","ergosterol biosynthesis 28 homolog",11161,"ENSG00000133935","MGI:1915571",""
"ERGIC1","endoplasmic reticulum-golgi intermediate compartment 1",57222,"ENSG00000113719","MGI:1914708",""
"ERGIC2","ERGIC and golgi 2",51290,"ENSG00000087502","MGI:1914706",""
"ERGIC3","ERGIC and golgi 3",51614,"ENSG00000125991","MGI:1913616",""
"ERH","ERH mRNA splicing and mitosis factor",2079,"ENSG00000100632","MGI:108089",""
"ERHP1","ERH pseudogene 1",100507125,"ENSG00000254270","",""
"ERHP2","ERH pseudogene 2",NA,"ENSG00000218143","",""
"ERI1","exoribonuclease 1",90459,"ENSG00000104626","MGI:1914526","Exonucleases|MicroRNA protein coding host genes"
"ERI2","ERI1 exoribonuclease family member 2",112479,"ENSG00000196678","MGI:1918401","Zinc fingers GRF-type|Exonucleases"
"ERI3","ERI1 exoribonuclease family member 3",79033,"ENSG00000117419","MGI:2153887","Exonucleases"
"ERI3-IT1","ERI3 intronic transcript 1",NA,"ENSG00000233602","","Intronic transcripts"
"ERICD","E2F1-regulated inhibitor of cell death",104355217,"ENSG00000280303","","Long non-coding RNAs with non-systematic symbols"
"ERICH1","glutamate rich 1",157697,"ENSG00000104714","MGI:3588201",""
"ERICH2","glutamate rich 2",285141,"ENSG00000204334","MGI:1913998",""
"ERICH3","glutamate rich 3",127254,"ENSG00000178965","MGI:1919095",""
"ERICH3-AS1","ERICH3 antisense RNA 1",101927320,"ENSG00000234497","","Antisense RNAs"
"ERICH4","glutamate rich 4",100170765,"ENSG00000204978","MGI:3646269",""
"ERICH5","glutamate rich 5",203111,"ENSG00000177459","MGI:2447772",""
"ERICH6","glutamate rich 6",131831,"ENSG00000163645","MGI:3588212",""
"ERICH6-AS1","ERICH6 antisense RNA 1",101928085,"ENSG00000240137","","Antisense RNAs"
"ERICH6B","glutamate rich 6B",220081,"ENSG00000165837","MGI:1922522",""
"ERLEC1","endoplasmic reticulum lectin 1",27248,"ENSG00000068912","MGI:1914003","MRH domain containing "
"ERLEC1P1","endoplasmic reticulum lectin 1 pseudogene 1",100288870,"ENSG00000240755","",""
"ERLIN1","ER lipid raft associated 1",10613,"ENSG00000107566","MGI:2387613","Small nucleolar RNA protein coding host genes"
"ERLIN2","ER lipid raft associated 2",11160,"ENSG00000147475","MGI:2387215",""
"ERLNC1","estrogen receptor responsive lncRNA 1",101929441,"ENSG00000230550","","Long non-coding RNAs with non-systematic symbols"
"ERMAP","erythroblast membrane associated protein (Scianna blood group)",114625,"ENSG00000164010","MGI:1349816","Blood group antigens|Butyrophilins|V-set domain containing"
"ERMARD","ER membrane associated RNA degradation",55780,"ENSG00000130023","MGI:1917317",""
"ERMN","ermin",57471,"ENSG00000136541","MGI:1925017",""
"ERMP1","endoplasmic reticulum metallopeptidase 1",79956,"ENSG00000099219","MGI:106250",""
"ERN1","endoplasmic reticulum to nucleus signaling 1",2081,"ENSG00000178607","MGI:1930134","Endoribonucleases"
"ERN2","endoplasmic reticulum to nucleus signaling 2",10595,"ENSG00000134398","MGI:1349436",""
"ERO1A","endoplasmic reticulum oxidoreductase 1 alpha",30001,"ENSG00000197930","MGI:1354385",""
"ERO1B","endoplasmic reticulum oxidoreductase 1 beta",56605,"ENSG00000086619","MGI:1914725",""
"ERP27","endoplasmic reticulum protein 27",121506,"ENSG00000139055","MGI:1916437","Protein disulfide isomerases"
"ERP29","endoplasmic reticulum protein 29",10961,"ENSG00000089248","MGI:1914647","Protein disulfide isomerases"
"ERP29P1","endoplasmic reticulum lumenal protein 29 pseudogene 1",100420612,"ENSG00000233347","",""
"ERP44","endoplasmic reticulum protein 44",23071,"ENSG00000023318","MGI:1923549","Thioredoxin domain containing |Protein disulfide isomerases"
"ERRFI1","ERBB receptor feedback inhibitor 1",54206,"ENSG00000116285","MGI:1921405",""
"ERV3-1","endogenous retrovirus group 3 member 1, envelope",2086,"ENSG00000213462","","Envelope ERV derived genes"
"ERV3-2","endogenous retrovirus group 3 member 2",57612,"","",""
"ERV9-1","endogenous retrovirus group 9 member 1",100616497,"","",""
"ERV18-1","endogenous retrovirus group 18 member 1",100133791,"","",""
"ERVE-1","endogenous retrovirus group E member 1",85314,"ENSG00000267259","",""
"ERVE-2","endogenous retrovirus group E member 2",100862691,"","",""
"ERVE-3","endogenous retrovirus group E member 3",100862700,"","",""
"ERVE-4","endogenous retrovirus group E member 4",100616105,"","",""
"ERVFC1-1","endogenous retrovirus group FC1 member 1, envelope",346547,"","","Envelope ERV derived genes"
"ERVFH21-1","endogenous retrovirus group FH21 member 1",100616104,"","",""
"ERVFRD-1","endogenous retrovirus group FRD member 1, envelope",405754,"ENSG00000244476","",""
"ERVFRD-2","endogenous retrovirus group FRD member 2",107985332,"","",""
"ERVFRD-3","endogenous retrovirus group FRD member 3",100533725,"ENSG00000264801","",""
"ERVH-1","endogenous retrovirus group H member 1",100616446,"ENSG00000251292","",""
"ERVH-2","endogenous retrovirus group H member 2",100616461,"","",""
"ERVH-3","endogenous retrovirus group H member 3",100289683,"","",""
"ERVH-4","endogenous retrovirus group H member 4",51359,"","",""
"ERVH-5","endogenous retrovirus group H member 5",100862699,"","",""
"ERVH-6","endogenous retrovirus group H member 6",51581,"","",""
"ERVH-7","endogenous retrovirus group H member 7",100862698,"","",""
"ERVH-8","endogenous retrovirus group H member 8, envelope",NA,"","","Envelope ERV derived genes"
"ERVH-9","endogenous retrovirus group H member 9, envelope",NA,"","","Envelope ERV derived genes"
"ERVH-10","endogenous retrovirus group H member 10, envelope",NA,"","","Envelope ERV derived genes"
"ERVH48-1","endogenous retrovirus group 48 member 1",90625,"ENSG00000233056","",""
"ERVI-1","endogenous retrovirus group I member 1",100131068,"","",""
"ERVK-1","endogenous retrovirus group K member 1",NA,"","",""
"ERVK-2","endogenous retrovirus group K member 2",100616100,"","",""
"ERVK-3","endogenous retrovirus group K member 3",NA,"","",""
"ERVK-4","endogenous retrovirus group K member 4",60359,"","",""
"ERVK-5","endogenous retrovirus group K member 5",60358,"","",""
"ERVK-6","endogenous retrovirus group K member 6, envelope",64006,"","",""
"ERVK-7","endogenous retrovirus group K member 7",449619,"","",""
"ERVK-8","endogenous retrovirus group K member 8, envelope",619465,"","","Envelope ERV derived genes"
"ERVK-9","endogenous retrovirus group K member 9",NA,"","",""
"ERVK-10","endogenous retrovirus group K member 10",100616101,"","",""
"ERVK-11","endogenous retrovirus group K member 11",NA,"","",""
"ERVK-12","endogenous retrovirus group K member 12",NA,"","",""
"ERVK-13","endogenous retrovirus group K member 13",NA,"","",""
"ERVK-14","endogenous retrovirus group K member 14",NA,"","",""
"ERVK-15","endogenous retrovirus group K member 15",NA,"","",""
"ERVK-16","endogenous retrovirus group K member 16",NA,"","",""
"ERVK-17","endogenous retrovirus group K member 17",NA,"","",""
"ERVK-18","endogenous retrovirus group K member 18",NA,"","",""
"ERVK-19","endogenous retrovirus group K member 19, envelope",NA,"","","Envelope ERV derived genes"
"ERVK-20","endogenous retrovirus group K member 20",NA,"","",""
"ERVK-21","endogenous retrovirus group K member 21, envelope",NA,"","","Envelope ERV derived genes"
"ERVK-22","endogenous retrovirus group K member 22",NA,"","",""
"ERVK-23","endogenous retrovirus group K member 23",NA,"","",""
"ERVK-24","endogenous retrovirus group K member 24",NA,"","",""
"ERVK-25","endogenous retrovirus group K member 25",NA,"","",""
"ERVK-26","endogenous retrovirus group K member 26",NA,"","",""
"ERVK-27","endogenous retrovirus group K member 27",NA,"","",""
"ERVK-28","endogenous retrovirus group K member 28",NA,"ENSG00000267696","",""
"ERVK-29","endogenous retrovirus group K member 29",NA,"","",""
"ERVK-30","endogenous retrovirus group K member 30",NA,"","",""
"ERVK-31","endogenous retrovirus group K member 31",NA,"","",""
"ERVK-32","endogenous retrovirus group K member 32, envelope",NA,"","","Envelope ERV derived genes"
"ERVK3-1","endogenous retrovirus group K3 member 1",105372481,"ENSG00000142396","",""
"ERVK3-2","endogenous retrovirus group K3 member 2",NA,"","",""
"ERVK3-3","endogenous retrovirus group K3 member 3",NA,"","",""
"ERVK3-4","endogenous retrovirus group K3 member 4",NA,"","",""
"ERVK3-5","endogenous retrovirus group K3 member 5",NA,"","",""
"ERVK3-6","endogenous retrovirus group K3 member 6",NA,"","",""
"ERVK3-7","endogenous retrovirus group K3 member 7",NA,"","",""
"ERVK3-8","endogenous retrovirus group K3 member 8",NA,"","",""
"ERVK9-1","endogenous retrovirus group K9, member 1",NA,"","",""
"ERVK9-2","endogenous retrovirus group K9, member 2",NA,"","",""
"ERVK9-3","endogenous retrovirus group K9, member 3",NA,"","",""
"ERVK9-4","endogenous retrovirus group K9, member 4",NA,"","",""
"ERVK9-5","endogenous retrovirus group K9, member 5",NA,"","",""
"ERVK9-6","endogenous retrovirus group K9, member 6",NA,"","",""
"ERVK9-7","endogenous retrovirus group K9, member 7",NA,"","",""
"ERVK9-8","endogenous retrovirus group K9, member 8",NA,"","",""
"ERVK9-9","endogenous retrovirus group K9, member 9",NA,"","",""
"ERVK9-10","endogenous retrovirus group K9, member 10",NA,"","",""
"ERVK9-11","endogenous retrovirus group K9, member 11",NA,"ENSG00000269486","",""
"ERVK9-12","endogenous retrovirus group K9, member 12",105375011,"","",""
"ERVK11-1","endogenous retrovirus group K11 member 1",NA,"","",""
"ERVK13-1","endogenous retrovirus group K13 member 1",100507321,"ENSG00000260565","",""
"ERVMER34-1","endogenous retrovirus group MER34 member 1, envelope",100288413,"ENSG00000226887","","Envelope ERV derived genes"
"ERVMER61-1","endogenous retrovirus group MER61 member 1",339476,"","",""
"ERVPABLB-1","endogenous retrovirus group PABLB member 1, envelope",100862693,"","","Envelope ERV derived genes"
"ERVS71-1","endogenous retrovirus group S71 member 1, envelope",105372315,"","","Envelope ERV derived genes"
"ERVS71-2","endogenous retrovirus group S71 member 2",100616200,"","",""
"ERVV-1","endogenous retrovirus group V member 1, envelope",147664,"ENSG00000269526","","Envelope ERV derived genes"
"ERVV-2","endogenous retrovirus group V member 2, envelope",100271846,"ENSG00000268964","","Envelope ERV derived genes"
"ERVW-1","endogenous retrovirus group W member 1, envelope",30816,"ENSG00000242950","",""
"ERVW-2","endogenous retrovirus group W member 2",100379323,"","",""
"ERVW-3","endogenous retrovirus group W member 3",NA,"","",""
"ERVW-4","endogenous retrovirus group W member 4",100616496,"","",""
"ERVW-5","endogenous retrovirus group W member 5",100862695,"","",""
"ERVW-6","endogenous retrovirus group W member 6",100616198,"","",""
"ERVW-7","endogenous retrovirus group W member 7",NA,"","",""
"ERVW-8","endogenous retrovirus group W member 8",NA,"","",""
"ERVW-9","endogenous retrovirus group W member 9",NA,"","",""
"ERVW-10","endogenous retrovirus group W member 10",NA,"","",""
"ERVW-11","endogenous retrovirus group W member 11",NA,"","",""
"ERVW-12","endogenous retrovirus group W member 12",NA,"","",""
"ERVW-13","endogenous retrovirus group W member 13",NA,"","",""
"ERVW-14","endogenous retrovirus group W member 14",NA,"","",""
"ERVW-15","endogenous retrovirus group W member 15",NA,"","",""
"ERVW-16","endogenous retrovirus group W member 16",NA,"","",""
"ERVW-17","endogenous retrovirus group W member 17",NA,"","",""
"ERVW-18","endogenous retrovirus group W member 18",NA,"","",""
"ERVW-19","endogenous retrovirus group W member 19",NA,"","",""
"ERVW-20","endogenous retrovirus group W member 20",NA,"","",""
"ERVW-21","endogenous retrovirus group W member 21",NA,"","",""
"ERVW-22","endogenous retrovirus group W member 22",NA,"","",""
"ERVW-23","endogenous retrovirus group W member 23",NA,"","",""
"ERVW-24","endogenous retrovirus group W member 24",NA,"","",""
"ERVW-25","endogenous retrovirus group W member 25",NA,"","",""
"ERVW-26","endogenous retrovirus group W member 26",NA,"","",""
"ERVW-27","endogenous retrovirus group W member 27",NA,"","",""
"ERVW-28","endogenous retrovirus group W member 28",NA,"","",""
"ERVW-29","endogenous retrovirus group W member 29",NA,"","",""
"ESA4","esterase A4",2090,"","",""
"ESAM","endothelial cell adhesion molecule",90952,"ENSG00000149564","MGI:1916774","V-set domain containing|IgCAM CXADR-related subfamily"
"ESAT","esterase activator",2096,"","",""
"ESB3","esterase B3",NA,"","",""
"ESCO1","establishment of sister chromatid cohesion N-acetyltransferase 1",114799,"ENSG00000141446","MGI:1925055","Lysine acetyltransferases"
"ESCO2","establishment of sister chromatid cohesion N-acetyltransferase 2",157570,"ENSG00000171320","MGI:1919238","Lysine acetyltransferases"
"ESD","esterase D",2098,"ENSG00000139684","MGI:95421",""
"ESF1","ESF1 nucleolar pre-rRNA processing protein homolog",51575,"ENSG00000089048","MGI:1913830",""
"ESM1","endothelial cell specific molecule 1",11082,"ENSG00000164283","MGI:1918940",""
"ESPL1","extra spindle pole bodies like 1, separase",9700,"ENSG00000135476","MGI:2146156",""
"ESPN","espin",83715,"ENSG00000187017","MGI:1861630","Ankyrin repeat domain containing"
"ESPNL","espin like",339768,"ENSG00000144488","MGI:2685402","Ankyrin repeat domain containing"
"ESPNP","espin pseudogene",284729,"ENSG00000268869","",""
"ESR1","estrogen receptor 1",2099,"ENSG00000091831","MGI:1352467","Nuclear hormone receptors"
"ESR2","estrogen receptor 2",2100,"ENSG00000140009","MGI:109392","Nuclear hormone receptors"
"ESRG","embryonic stem cell related",790952,"ENSG00000265992","","Long non-coding RNAs with non-systematic symbols"
"ESRP1","epithelial splicing regulatory protein 1",54845,"ENSG00000104413","MGI:1917326","RNA binding motif containing"
"ESRP2","epithelial splicing regulatory protein 2",80004,"ENSG00000103067","MGI:1924661","MicroRNA protein coding host genes|RNA binding motif containing"
"ESRRA","estrogen related receptor alpha",2101,"ENSG00000173153","MGI:1346831","Nuclear hormone receptors"
"ESRRAP1","estrogen-related receptor alpha pseudogene 1",144847,"ENSG00000215572","",""
"ESRRAP2","estrogen-related receptor alpha pseudogene 2",144832,"ENSG00000235438","",""
"ESRRB","estrogen related receptor beta",2103,"ENSG00000119715","MGI:1346832","Nuclear hormone receptors"
"ESRRG","estrogen related receptor gamma",2104,"ENSG00000196482","MGI:1347056","Nuclear hormone receptors"
"ESS2","ess-2 splicing factor homolog",8220,"ENSG00000100056","MGI:107854","Spliceosomal P complex"
"ESX1","ESX homeobox 1",80712,"ENSG00000123576","MGI:1096388","PRD class homeoboxes and pseudogenes"
"ESYT1","extended synaptotagmin 1",23344,"ENSG00000139641","MGI:1344426","Extended synaptotagmins"
"ESYT2","extended synaptotagmin 2",57488,"ENSG00000117868","MGI:1261845","Extended synaptotagmins"
"ESYT3","extended synaptotagmin 3",83850,"ENSG00000158220","MGI:1098699","Extended synaptotagmins"
"ETAA1","ETAA1 activator of ATR kinase",54465,"ENSG00000143971","MGI:1915395",""
"ETDA","embryonic testis differentiation homolog A",101928677,"ENSG00000238210","MGI:1916751",""
"ETDB","embryonic testis differentiation homolog B",100129515,"ENSG00000224107","MGI:1916751",""
"ETDC","embryonic testis differentiation homolog C",110806299,"ENSG00000283644","MGI:1916751",""
"ETF1","eukaryotic translation termination factor 1",2107,"ENSG00000120705","MGI:2385071","SURF complex"
"ETF1P1","eukaryotic translation termination factor 1 pseudogene 1",6824,"ENSG00000232757","",""
"ETF1P2","eukaryotic translation termination factor 1 pseudogene 2",6825,"ENSG00000240132","",""
"ETF1P3","eukaryotic translation termination factor 1 pseudogene 3",100132121,"ENSG00000233833","",""
"ETFA","electron transfer flavoprotein subunit alpha",2108,"ENSG00000140374","MGI:106092",""
"ETFB","electron transfer flavoprotein subunit beta",2109,"ENSG00000105379","MGI:106098",""
"ETFBKMT","electron transfer flavoprotein subunit beta lysine methyltransferase",254013,"ENSG00000139160","MGI:2443575","Methyltransferase like"
"ETFDH","electron transfer flavoprotein dehydrogenase",2110,"ENSG00000171503","MGI:106100",""
"ETFRF1","electron transfer flavoprotein regulatory factor 1",144363,"ENSG00000205707","MGI:1914886","LYR motif containing"
"ETHE1","ETHE1 persulfide dioxygenase",23474,"ENSG00000105755","MGI:1913321",""
"ETNK1","ethanolamine kinase 1",55500,"ENSG00000139163","MGI:1922570",""
"ETNK2","ethanolamine kinase 2",55224,"ENSG00000143845","MGI:2443760",""
"ETNPPL","ethanolamine-phosphate phospho-lyase",64850,"ENSG00000164089","MGI:1919010",""
"ETS1","ETS proto-oncogene 1, transcription factor",2113,"ENSG00000134954","MGI:95455","ETS transcription factor family"
"ETS1-AS1","ETS1 antisense RNA 1",101929517,"ENSG00000254588","","Antisense RNAs"
"ETS2","ETS proto-oncogene 2, transcription factor",2114,"ENSG00000157557","MGI:95456","ETS transcription factor family"
"ETV1","ETS variant transcription factor 1",2115,"ENSG00000006468","MGI:99254","ETS transcription factor family"
"ETV2","ETS variant transcription factor 2",2116,"ENSG00000105672","MGI:99253","ETS transcription factor family"
"ETV3","ETS variant transcription factor 3",2117,"ENSG00000117036","MGI:1350926","ETS transcription factor family"
"ETV3L","ETS variant transcription factor 3 like",440695,"ENSG00000253831","MGI:3646099","ETS transcription factor family"
"ETV4","ETS variant transcription factor 4",2118,"ENSG00000175832","MGI:99423","ETS transcription factor family"
"ETV5","ETS variant transcription factor 5",2119,"ENSG00000244405","MGI:1096867","ETS transcription factor family"
"ETV5-AS1","ETV5 antisense RNA 1",NA,"ENSG00000234197","","Antisense RNAs"
"ETV6","ETS variant transcription factor 6",2120,"ENSG00000139083","MGI:109336","ETS transcription factor family"
"ETV7","ETS variant transcription factor 7",51513,"ENSG00000010030","","ETS transcription factor family"
"ETV7-AS1","ETV7 and PTX1 antisense RNA 1",105375037,"ENSG00000224666","","Antisense RNAs"
"EVA1A","eva-1 homolog A, regulator of programmed cell death",84141,"ENSG00000115363","MGI:2385247",""
"EVA1B","eva-1 homolog B",55194,"ENSG00000142694","MGI:1922063",""
"EVA1C","eva-1 homolog C",59271,"ENSG00000166979","MGI:1918217",""
"EVC","EvC ciliary complex subunit 1",2121,"ENSG00000072840","MGI:1890596",""
"EVC2","EvC ciliary complex subunit 2",132884,"ENSG00000173040","MGI:1915775",""
"EVI2A","ecotropic viral integration site 2A",2123,"ENSG00000126860","MGI:95458",""
"EVI2B","ecotropic viral integration site 2B",2124,"ENSG00000185862","MGI:1890682","CD molecules"
"EVI5","ecotropic viral integration site 5",7813,"ENSG00000067208","MGI:104736",""
"EVI5L","ecotropic viral integration site 5 like",115704,"ENSG00000142459","MGI:2442167",""
"EVL","Enah/Vasp-like",51466,"ENSG00000196405","MGI:1194884","ENAH/VASPs|MicroRNA protein coding host genes"
"EVPL","envoplakin",2125,"ENSG00000167880","MGI:107507","Plakins"
"EVPLL","envoplakin like",645027,"ENSG00000214860","","Plakins"
"EVX1","even-skipped homeobox 1",2128,"ENSG00000106038","MGI:95461","HOXL subclass homeoboxes"
"EVX1-AS","EVX1 antisense RNA",NA,"ENSG00000253405","","Antisense RNAs"
"EVX2","even-skipped homeobox 2",344191,"ENSG00000174279","MGI:95462","HOXL subclass homeoboxes"
"EWSAT1","Ewing sarcoma associated transcript 1",283673,"ENSG00000212766","","Long non-coding RNAs with non-systematic symbols"
"EWSR1","EWS RNA binding protein 1",2130,"ENSG00000182944","MGI:99960","RNA binding motif containing|Zinc fingers RANBP2-type "
"EXD1","exonuclease 3'-5' domain containing 1",161829,"ENSG00000178997","MGI:3045306",""
"EXD2","exonuclease 3'-5' domain containing 2",55218,"ENSG00000081177","MGI:1922485",""
"EXD3","exonuclease 3'-5' domain containing 3",54932,"ENSG00000187609","",""
"EXO1","exonuclease 1",9156,"ENSG00000174371","MGI:1349427","Exonucleases"
"EXO5","exonuclease 5",64789,"ENSG00000164002","MGI:1920422","Exonucleases"
"EXOC1","exocyst complex component 1",55763,"ENSG00000090989","MGI:2445020","Exocyst complex"
"EXOC1L","exocyst complex component 1 like",644145,"ENSG00000250821","MGI:3647743",""
"EXOC2","exocyst complex component 2",55770,"ENSG00000112685","MGI:1913732","Exocyst complex|IPT domain containing"
"EXOC3","exocyst complex component 3",11336,"ENSG00000180104","MGI:2443972","Exocyst complex"
"EXOC3-AS1","EXOC3 antisense RNA 1",116349,"ENSG00000221990","","Antisense RNAs"
"EXOC3L1","exocyst complex component 3 like 1",283849,"ENSG00000179044","MGI:3041195",""
"EXOC3L2","exocyst complex component 3 like 2",90332,"ENSG00000283632","MGI:1921713","Armadillo-like helical domain containing"
"EXOC3L4","exocyst complex component 3 like 4",91828,"ENSG00000205436","MGI:1921363",""
"EXOC4","exocyst complex component 4",60412,"ENSG00000131558","MGI:1096376","Exocyst complex|MicroRNA protein coding host genes"
"EXOC5","exocyst complex component 5",10640,"ENSG00000070367","MGI:2145645","Exocyst complex"
"EXOC5P1","exocyst complex component 5 pseudogene 1",644548,"ENSG00000180673","",""
"EXOC6","exocyst complex component 6",54536,"ENSG00000138190","MGI:1351611","Exocyst complex"
"EXOC6B","exocyst complex component 6B",23233,"ENSG00000144036","MGI:1923164","Exocyst complex"
"EXOC7","exocyst complex component 7",23265,"ENSG00000182473","MGI:1859270","Exocyst complex|MicroRNA protein coding host genes"
"EXOC7P1","exocyst complex component 7 pseudogene 1",391681,"ENSG00000250485","",""
"EXOC8","exocyst complex component 8",149371,"ENSG00000116903","MGI:2142527","Exocyst complex"
"EXOG","exo/endonuclease G",9941,"ENSG00000157036","MGI:2143333",""
"EXOGP1","EXOG pseudogene 1",100128324,"ENSG00000263748","",""
"EXOSC1","exosome component 1",51013,"ENSG00000171311","MGI:1913833","Exosome complex"
"EXOSC2","exosome component 2",23404,"ENSG00000130713","MGI:2385133","Exosome complex"
